1. Wal-Mart Stores 
2. Exxon Mobil 
3. Chevron 
4. Phillips 66 
5. Berkshire Hathaway 
6. Apple 
7. General Motors 
8. General Electric 
9. Valero Energy 
10. Ford Motor 
11. AT&T 
12. Fannie Mae 
13. CVS Caremark 
14. McKesson 
15. Hewlett-Packard 
16. Verizon Communications 
17. UnitedHealth Group 
18. J.P. Morgan Chase & Co. 
19. Cardinal Health 
20. International Business Machines 
21. Bank of America Corp. 
22. Costco Wholesale 
23. Kroger 
24. Express Scripts Holding 
25. Wells Fargo 
26. Citigroup 
27. Archer Daniels Midland 
28. Procter & Gamble 
29. Prudential Financial 
30. Boeing 
31. Freddie Mac 
32. AmerisourceBergen 
33. Marathon Petroleum 
34. Home Depot 
35. Microsoft 
36. Target 
37. Walgreen 
38. American International Group 
39. INTL FCStone 
40. MetLife 
41. Johnson & Johnson 
42. Caterpillar 
43. PepsiCo 
44. State Farm Insurance Cos. 
45. ConocoPhillips 
46. Comcast 
47. WellPoint 
48. Pfizer 
49. Amazon.com 
50. United Technologies 
51. Dell 
52. Dow Chemical 
53. United Parcel Service 
54. Intel 
55. Google 
56. Lowe's 
57. Coca-Cola 
58. Merck 
59. Lockheed Martin 
60. Cisco Systems 
61. Best Buy 
62. Safeway 
63. FedEx 
64. Enterprise Products Partners 
65. Sysco 
66. Walt Disney 
67. Johnson Controls 
68. Goldman Sachs Group 
69. CHS 
70. Abbott Laboratories 
71. Sears Holdings 
72. DuPont 
73. Humana 
74. World Fuel Services 
75. Hess 
76. Ingram Micro 
77. Plains All American Pipeline 
78. Honeywell International 
79. United Continental Holdings 
80. Oracle 
81. Liberty Mutual Insurance Group 
82. HCA Holdings 
83. Delta Air Lines 
84. Aetna 
85. Deere 
86. Supervalu 
87. Sprint Nextel 
88. Mondelēz International 
89. New York Life Insurance 
90. American Express 
91. News Corp. 
92. Allstate 
93. Tyson Foods 
94. Massachusetts Mutual Life Insurance 
95. Tesoro 
96. Morgan Stanley 
97. TIAA-CREF 
98. General Dynamics 
99. Philip Morris International 
100. Nationwide 
101. 3M 
102. DirecTV 
103. Cigna 
104. Murphy Oil 
105. Time Warner 
106. Halliburton 
107. International Paper 
108. Publix Super Markets 
109. Macy's 
110. Fluor 
111. McDonald's 
112. Hartford Financial Services Group 
113. Rite Aid 
114. Northwestern Mutual 
115. TJX 
116. Travelers Cos. 
117. Avnet 
118. Aflac 
119. Tech Data 
120. Northrop Grumman 
121. AMR 
122. Staples 
123. Emerson Electric 
124. Raytheon 
125. Occidental Petroleum 
126. Nike 
127. Capital One Financial 
